"SYMBOL 
","SERIES 
","BOND TYPE 
","COUPON RATE 
","FACE VALUE 
","LTP 
","%CHNG 
","VOLUME 
(Shares)","VALUE "," 
","CREDIT RATING 
","MATURITY DATE 
"
"NHAI","N6","Regular","8.75","1,000.00","1,242.00","-0.01","31977","39,634,532.19",,"CRISIL AAA STABLE / CARE AAA / BWR AAA STABLE ","05-Feb-2029"
"NHAI","N2","Regular","8.30","1,000.00","1,136.00","0.04","15977","18,134,054.77",,"CRISIL AAA STABLE / CARE AAA / IND AAA STABLE ","25-Jan-2027"
"HUDCO","N2","Regular","8.20","1,000.00","1,180.51","0.12","3193","3,763,365.59",,"CARE AA+ / IND AA+","05-Mar-2027"
"RECLTD","N9","Regular","8.71","1,000.00","1,167.50","-0.21","2660","3,105,443.60",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","24-Sep-2028"
"PFC","N8",,"-","-","1,304.95","0.72","2343","3,037,769.79",,,"-"
"NHBTF2014","N6","Regular","9.01","5,000.00","6,538.00","-0.27","380","2,489,566.20",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA STABLE","13-Jan-2034"
"IIHFL","N5","Regular","9.60","1,000.00","999.00","0.29","2284","2,280,870.92",,"CRISIL AA Stable / BWR AA+  Negative","03-Nov-2028"
"IRFC","NI","Regular","7.32","1,000.00","1,069.99","1.42","1842","1,936,605.12",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","21-Dec-2025"
"IIFL","NF","Regular","9.60","1,000.00","1,001.00","0.30","1921","1,919,021.37",,"CRISIL AA Negative / BWR AA+ Negative","24-Jun-2028"
"TATACAPHSG","N8","Regular","8.10","1,000.00","1,054.99","-0.85","1284","1,347,070.08",,"CRISIL AAA STABLE / ICRA AAA STABLE","14-Jan-2028"
"DHANILOANS","N8","Regular","-","1,000.00","1,453.00","0.21","830","1,198,984.80",,"CARE AA STABLE / BWR AA+ STABLE","08-Mar-2024"
"IFCI","NH","Regular","9.90","1,000.00","1,020.00","-0.20","1165","1,188,696.10",,"ICRA A STABLE / BWR AA- STABLE","01-Dec-2024"
"IIHFL","N4","Regular","10.00","1,000.00","1,008.40","-","746","751,565.16",,"CRISIL AA Stable / BWR AA+  Negative","03-Nov-2028"
"NHAI","NE","Regular","7.69","1,000.00","1,166.00","-0.34","586","682,877.52",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","09-Mar-2031"
"NHIT","N3","Regular","7.90","400.00","420.00","0.72","1580","661,087.80",,"CARE AAA Stable / IND AAA/Stable","14-Nov-2047"
"L&TFINANCE","Y7","Regular","8.29","1,000.00","1,012.50","-0.44","647","656,025.65",,"CRISIL AAA STABLE / CARE AAA STABLE / IND AAA STABLE ","23-Dec-2024"
"ECLFINANCE","NO","Regular","9.95","1,000.00","999.00","0.40","620","618,964.60",,"CRISIL AA STABLE / ICRA AA","04-Jan-2024"
"NHIT","N2","Regular","7.90","300.00","311.25","-0.11","1940","604,174.20",,"CARE AAA Stable / IND AAA/Stable","14-Nov-2040"
"NABARD","N2",,"-","-","1,204.00","-0.08","500","602,000.00",,,"-"
"NHIT","N1","Regular","7.90","300.00","311.16","-0.11","1865","581,115.35",,"CARE AAA Stable / IND AAA/Stable","24-Oct-2035"
"TATACAPHSG","NA","Regular","8.40","1,000.00","1,034.00","-","562","580,102.02",,"CRISIL AAA STABLE / ICRA AAA STABLE","14-Jan-2028"
"BRITANNIA","N3",,"-","-","29.12","-","19592","570,127.20",,,"-"
"CREDITACC","N5","Regular","10.00","1,000.00","1,047.50","1.01","512","536,320.00",,"IRR AA-/Stable","23-Nov-2027"
"M&MFIN","N2",,"-","-","1,092.00","0.17","477","521,322.84",,,"-"
"IRFC","NO","Regular","7.64","1,000.00","1,160.51","-0.04","440","509,476.00",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","22-Mar-2031"
"NTPC","N6","Regular","8.91","1,000.00","1,294.00","-1.67","381","495,722.91",,"CRISIL AAA / ICRA AAA STABLE","16-Dec-2033"
"SHRIRAMFIN","YP",,"-","-","1,040.00","-1.61","467","491,596.89",,,"-"
"IIFL","NS","Regular","8.65","1,000.00","983.00","-0.50","417","411,875.07",,"CRISIL AA Stable / ICRA AA  Stable","24-Jan-2028"
"INDIGRID","NJ","Regular","8.20","1,000.00","1,057.50","-","371","392,020.86",,"IND AAA Stable / CRISIL AAA Stable","06-May-2031"
"TATACAPHSG","N4","Regular","8.01","1,000.00","1,009.10","-0.58","372","375,876.24",,"CRISIL AAA STABLE / ICRA AAA STABLE","14-Jan-2025"
"IRFC","N9","Regular","8.48","1,000.00","1,090.21","-1.34","331","365,258.50",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","18-Feb-2024"
"RECLTD","NI",,"-","-","1,159.05","0.35","277","321,056.85",,,"-"
"IIHFL","NC","Regular","8.43","1,000.00","957.95","0.83","321","307,704.18",,"CRISIL AA Stable / BWR AA+  Negative","03-Jan-2029"
"SHRIRAMFIN","YU",,"-","-","1,465.00","-0.07","200","293,116.00",,,"-"
"HUDCO","NE",,"-","-","1,308.00","0.08","210","275,102.10",,,"-"
"IIFL","NH","Regular","8.25","1,000.00","1,015.10","0.01","250","253,775.00",,"CRISIL AA Stable/ BWR AA+ Negative","14-Oct-2023"
"PFC","N6",,"-","-","1,040.00","-","241","250,640.00",,,"-"
"NAVIFIN","N1","Regular","9.20","1,000.00","992.10","0.15","228","226,166.88",,"IND A/ Stable","08-Dec-2023"
"TATACAPHSG","NB","Regular","8.55","1,000.00","1,075.00","3.86","200","211,100.00",,"CRISIL AAA STABLE / ICRA AAA STABLE","14-Jan-2030"
"RHFL","N6","Regular","9.15","1,000.00","403.00","0.50","431","173,697.31",,"CARE AA+ STABLE / BWR AA+ STABLE","03-Jan-2027"
"TCFSL","ND","Regular","8.90","1,000.00","1,038.98","0.40","163","169,149.99",,"CRISIL AAA STABLE / CARE AAA STABLE","27-Sep-2023"
"IIFCL","N4",,"-","-","1,280.00","-","131","167,680.00",,,"-"
